Comment ID,Rating,Tokens Used,Content,Error Message,,
1130,1,158,Mayor Adams another bus just pulled up to the Port Authority hurry up you have to get down there and greet them… Don’t forget to give them some bottled water and a cell phone hurry oh wait a minute another bus oh wait three more buses hurry mayor Adams hurry,N/A,,
1131,2,142,I cannot believe that the Mayor does not give these illegals a daily menu!!! If Eric wants to solve his financial issues simply state that NYC is no longer a sanctuary city.,N/A,,
1132,1,156,They need to rip that EMERGENCY label off this situation and start calling it what it is - a money grab.  It's not an emergency after it's been going on for over a year.   Stop spending taxpayer dollars on everything but the taxpayers.,N/A,,
1133,2,117,Just pathetic. Like Biden’s open borders policy.,N/A,,
1134,2,171,"As long as they are getting fed, a clean bed, spending money they will continue to come. Did anyone else notice all these migrants all want to go to NYC. None of them said they want to go to Fargo ND or Wheeling WV. No send us to NYC, they know where the best freebies are.",N/A,,
1135,2,134,"It's too bad most Americans won't see this excellent reporting. Too busy worshipping the Kardashians, taking selfies and running up credit card bills.",N/A,,
1136,N/A,0,"If NYC keeps this nonsense up for much longer I can't imagine many taxpaying citizens will be left hanging around to foot the bill.  A mere two-percent of these trespassing parasites applied for a work permit, and why would they after being offered a velvet-lined life for 'free'?","'content_filter_result': {'hate': {'filtered': True, 'severity': 'medium'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'low'}}}}}",,
1137,N/A,0,"If NYC keeps this nonsense up for much longer I can't imagine many taxpaying citizens will be left hanging around to foot the bill.  A mere two-percent of these trespassing parasites applied for a work permit, and why would they after being offered a velvet-lined life for 'free'?","'content_filter_result': {'hate': {'filtered': True, 'severity': 'medium'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'low'}}}}}",,
1138,1,133,There's a simple solution to this problem. It's the same thing that people are asked to do at the zoo. Don't feed the animals.,N/A,,
1139,2,150,What is this invasion doing to the schools? The classes must be busting at the seams and the citizens have to be left high and dry. How can teachers teach and are any of the children learning anything at all?,N/A,,
1140,2,123,So glad I don't live in NYC anymore. It's like a post apocalyptic movie.,N/A,,
1141,N/A,0,"DocGo stock had a good day, they got a contract to vaccinate people out in Arizona, feeding migrants in NYC, jabbing people out west, they are doing God's work, time to invest in that stock..","'content_filter_result': {'hate': {'filtered': True, 'severity': 'medium'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}}}}",,
1142,2,127,"To save money, stop feeding the illegals.  Just let them provide for themselves or go home.",N/A,,
1143,1,159,"It is simply amazing that $33 a day is being spent per person per day on meals. I wish I had that kind of money. BTW does right to shelter also mean right to free meals, metrocards and phones?  Something is broken here.",N/A,,
1144,4,190,As the lack of cultural integration becomes ever more evident it really is just a matter of time before a violent episode between abused citizens and pampered invaders occurs. That statement is not an endorsement of vigilantism. It is a reference to how some people who feel abused seek to remedy their repression. Check out the events between the colonists and the British in 1776. That would be a good starting point.,N/A,,
1145,2,150,"NYC is getting exactly what NYC voters asked for and deserve.Thank the NYT, NBC and all the other media outlets headquartered in NYC for spreading the sanctuary city message and not reporting the chaos and wasteful spending.",N/A,,
1146,1,205,"I have mentioned this before. Walking around my neighborhood where there’s a couple shelters I see a lot of these food containers daily. Completely unopened food, Left in abandon on the street. Yet the people who abandoned these containers, are enjoying takeout and fast food. I don’t like to walk around Times Square but just walking around there. You also see many many disregarded containers. As, people are enjoying fast food, food carts, more waste than at an elementary school that provides food.",N/A,,
1147,2,186,"Well, lets see.  We have families that are living hand to mouth right now that are citizens.  Providing meals that may not agree with what the Illegal aliens might like and they are throwing the food out?  Maybe demand they work for their meals then.  I do not know what laws and rules have regarding asylum in NYC.  Certainly could stand for some serious review and repeal.",N/A,,
1148,2,184,Is anyone really surprised? Seriously? This is exactly the same as all the other scams perpetrated on the people who actually work for a living. Tax the middle until it's dry and they throw your hands in the air asking what happened is the liberal road map for everything. This system will collapse under it's own weight and the 'service providers' will likely all be in FL enjoying your money.,N/A,,
1149,1,122,You should see the food waste at the schools.  This is nothing.,N/A,,
1150,2,114,Our government really doesn't like its citizens.,N/A,,
1151,2,155,"It's always a rip-off money grab with programs like these. Illegal immigration, homelessness, drug addiction, there are always groups and organizations of well-connected hustlers stepping in and taking as much money as they can get away with. It never ends.",N/A,,
1152,4,167,"It’s sheer madness. Don’t feed them, don’t clothe them, don’t shelter them, don’t give them anything.  Except for a ride to the border , send the democrats the bill. Don’t forget the leg Irons so they stay put until the trip is complete.",N/A,,
1153,2,182,"It all begins with China Joe throwing open our border through corrupt immigration policies, then the UN, plus other NGOs jumped in to help form and move the caravans. Vultures line the route, a million here a billion there. The Mexican cartels are the transportation hub for both the illegals and the drugs. Nothing legitimate touches this movement, except American's tax dollars.",N/A,,
1154,N/A,0,Feed them 3 Taco Bell tacos per day while they’re waiting to be deported.,"'content_filter_result': {'hate': {'filtered': True, 'severity': 'high'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'low'}}}}}",,
1155,3,318,"WHEN WILL TRUMP AND THE NO FIGHT REPUBLICAN PARTY FINALLY TELL THE TRUTH ABOUT THE BORDER:THE DEMOCRATS FOUND A WAY TO TAKE OVER AMERICA.The Democrat Party has found a way to take over America by importing tens of millions into their political party from the open border. Its why they protect corrupt Biden and crucify Trump. They give them healthcare, legal aid, food, shelter, even created sanctuary cities to protect them from prosecution. In June 2023, Los Angeles became a sanctuary city by the Democratic run City Council. If re-elected, Trump stops them by continuing the wall Biden stopped. That is why they persecute him. That's why they protect Biden at all cost. They know they can beat the other candidates. Trump is the problem. If a Democrat wins the Presidency, the Democrat Party importation of voters continues. 15 million becomes 30 million. The Democrats will flip every battleground state to them. The Republicans will not be able to elect a President or a Senator. It will be almost impossible to elect a Congressman or Congresswoman. Its all about the border. The Republicans and Trump should tell America EVERYDAY why the Democrats are persecuting him and protecting Biden - it's all about the border and the Democrat Party's plan to take over America - and become our DICTATORS. Its the biggest story in America since the Civil War.",N/A,,
1156,2,124,"Wasted food ain't the whole enchilada, just another bite of economic death spiral...",N/A,,
1157,1,150,"Sorry Betsy but $11 per meal is not price gouging, especially in NYC. Foodservice rule of thumb is charging at least three times what you paid for the product, more if they are being delivered.",N/A,,
1158,N/A,0,Starve 'em.They are and will continue to be nothing but a burden.,"'content_filter_result': {'hate': {'filtered': True, 'severity': 'medium'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}}}}",,
1159,2,183,They need to investigate the biggest one of all in New York City camba inc a nonprofit I call the six crime family of New York they get a slice of everything off of the city dime their empire is basically built off of taxpayers funds making they CEO the 50th most powerful business person in New York running a non-profit can you believe that in the financial Mecca of the world,N/A,,
1160,2,120,The NGOs are as evil as the cartels!Both the same!,N/A,,
1161,1,165,Trump was right again.Saw a bit on all the great government contracts that the open border has created for Biden's pals. Like when his brother got the big contract to build housing in Iraq. Total frauds.The fabric of this nation has been shredded under the O'Biden regimes.,N/A,,
1162,N/A,0,Starve 'em.They are and will continue to be nothing but a burden.,"'content_filter_result': {'hate': {'filtered': True, 'severity': 'medium'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}}}}",,
1163,2,183,They need to investigate the biggest one of all in New York City camba inc a nonprofit I call the six crime family of New York they get a slice of everything off of the city dime their empire is basically built off of taxpayers funds making they CEO the 50th most powerful business person in New York running a non-profit can you believe that in the financial Mecca of the world,N/A,,
1164,2,120,The NGOs are as evil as the cartels!Both the same!,N/A,,
1165,2,165,Trump was right again.Saw a bit on all the great government contracts that the open border has created for Biden's pals. Like when his brother got the big contract to build housing in Iraq. Total frauds.The fabric of this nation has been shredded under the O'Biden regimes.,N/A,,
1166,2,123,You can have welfare state OR open borders but not both at the same time.,N/A,,
1167,N/A,0,"The city of New York ain’t seen nothing yet! These ILLEGAL immigrants will cost hundreds of billions in food, shelter, welfare and transportation costs…guaranteed! Those who take advantage of the system on the delivery end will take in millions for practically no work.","'content_filter_result': {'hate': {'filtered': True, 'severity': 'medium'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}}}}",,
1168,1,132,I’ll take that meal. I’m a tax paying American.  I am tired of spending $15 for lunch per day.,N/A,,
1169,2,155,"Typical government where they have no bid contracts, waste millions of our hard earned money. Reasons like that are why i hope Trump gets re-elected. He was not a great statesman but a businessman who knew when we were getting screwed on deals",N/A,,
1170,2,142,"All of this is caused by democrats and the Ill informed voters of New York will keep voting for them. So, forgive me if I have no sympathy for you morons.",N/A,,
1171,2,158,"I just want to know, how many Bidens are in on this racket? At the turn of the century when tens of thousands of migrants were arriving and being processed through Elis Island, how much government assistance was provided to them? Thats right, none!",N/A,,
1172,2,117,Let them hunt rats and pigeons....problem solved,N/A,,
1173,2,161,"Money flows like water down the drain in fixed price, no bid contracts with swiss cheese loopholes. Can we all just accept fiscal malfeasance is merely an offshoot of gross incompetency. Move on from this, pay higher taxes and let them come in waves.",N/A,,
1174,2,239,"So the meals costs $11?  That's fast food territory.  What about the strain on the school system? Non English speaking students must be costing more than the meals in so many ways.  But who is to blame?  Put the blame where it belongs. On voters who vote the party ticket. If the taxes go up to support outright criminality, the majority of voters have no right to complain. New York is the living embodiment of misery loving company.  The $11 meals were approved by a majority of voters.  So grin and bear it. It may not be right. But it's New York approved, endorsed by the body politic.",N/A,,
1175,2,126,The government is paying the environmentally destructive meat industry to torture and kill animals for these wasted meals.,N/A,,
1176,2,129,"There is no emergency if you’re getting free rent, free food, and free healthcare! What’s the emergency???",N/A,,
1177,2,131,What in the actual H E Double Hockeysticks is going on in our country?!Why are we allowing this?!,N/A,,
1178,2,122,So don't feed them. Don't house them. Let the hen LEAVE.,N/A,,
1179,2,114,Feed them the Michelle Obama school lunch.,N/A,,
1180,2,175,"What? Are meals actually being delivered to each person? If they're to be fed, it should be at a central mess hall area where they select only what they want twice a day. No one needs to eat three times a day - that's why we're all overweight..  The cost is insane.  I bet there are massive kickbacks.",N/A,,
1181,N/A,0,Scoop these migrant animals up in a front loader and dump them in a landfill.,"'content_filter_result': {'hate': {'filtered': True, 'severity': 'high'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': True, 'severity': 'medium'}}}}}",,
1182,2,116,The working man is a sucker more then ever,N/A,,
1183,1,130,Dumpster diving and soup kitchens are the alternatives. Food is not from Michelin Five-star restaurants. But it beats going hungry.,N/A,,
1184,1,188,"$33. a day I could feed them steak for dinner, bacon and eggs for breakfast and a decent lunch for much less. The city is getting ripped off as usual. It is definitely who you know. A no bid contract- no bid corruption. We don't spend $11. a meal and most seniors on a fixed income don't. SNAP/EBT certainly does not give families that much each month.",N/A,,
1185,1,284,"During Covid, in New Orleans, I worked at several homeless shelters set up with federal funding to prevent the spread of covid. We also had a contracted outlet delivering meals 3x day. On my first day, I witnessed 75 of 110 breakfast plates being tossed in a dumpster. After two days of watching this, I arranged for local volunteers to come after every meal serving and pick up the leftovers (they were in styrofoam covered trays) and they went throughout the city handing out the leftovers to homeless that were still on the streets. It was one small effort to combat the waste.  I work in disaster relief and will agree the waste is something that needs to be addressed.  Part of the no compete is so groups can hit the ground running and get set up quickly, but there is definitely room for improvement in the 'disaster as a business model' ideal.",N/A,,
1186,1,119,I'm sure there are Falafel Trucks parked near The Roosevelt.,N/A,,
1187,1,130,Dumpster diving and soup kitchens are the alternatives. Food is not from Michelin Five-star restaurants. But it beats going hungry.,N/A,,
1188,1,188,"$33. a day I could feed them steak for dinner, bacon and eggs for breakfast and a decent lunch for much less. The city is getting ripped off as usual. It is definitely who you know. A no bid contract- no bid corruption. We don't spend $11. a meal and most seniors on a fixed income don't. SNAP/EBT certainly does not give families that much each month.",N/A,,
1189,1,284,"During Covid, in New Orleans, I worked at several homeless shelters set up with federal funding to prevent the spread of covid. We also had a contracted outlet delivering meals 3x day. On my first day, I witnessed 75 of 110 breakfast plates being tossed in a dumpster. After two days of watching this, I arranged for local volunteers to come after every meal serving and pick up the leftovers (they were in styrofoam covered trays) and they went throughout the city handing out the leftovers to homeless that were still on the streets. It was one small effort to combat the waste.  I work in disaster relief and will agree the waste is something that needs to be addressed.  Part of the no compete is so groups can hit the ground running and get set up quickly, but there is definitely room for improvement in the 'disaster as a business model' ideal.",N/A,,
1190,1,119,I'm sure there are Falafel Trucks parked near The Roosevelt.,N/A,,
1191,2,122,"The more they waste on food the less they have for housing, this is good",N/A,,
1192,1,140,What do I think? I think the idiot voters elected idiot politicians that implement idiotic policies. So stop whining and crying and enjoy swimming in the sewer you created.,N/A,,
1193,1,114,NYC throws money in the trash?,N/A,,
1194,1,108,Beans!,N/A,,
1195,1,159,"It makes more sense to give the illegals vouchers for local restaurants and supermarkets.  Then some New Yorkers who own and work in these type places will get a benefit.  If you are going to waste money, let some New Yorkers get part of it.",N/A,,
1196,1,121,New Yorkers aren't nearly as smart and sophisticated as commonly presented by the media.,N/A,,
1197,N/A,0,Give them nothing!  Like feeding animals in a park.  They become lazy and even more reliant.,"'content_filter_result': {'hate': {'filtered': True, 'severity': 'medium'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}}}}",,
1198,1,115,Arroz y frijoles para todos.,N/A,,
1199,2,126,"Millions going into these NGO’s, which is another way of funneling money through the Democrat PAC system",N/A,,
1200,2,229,"The collateral accomplishments of the open borders policy is to create additional largesse for the Democrat machine. All the people needed to handle the influx of these illegals in Americans towns and cities all require a massive amount of manpower, obviously left leaning manpower, in addition to all the new NGO‘s that need to be created and companies affiliated with the NGO‘s making these meals. Nobody cares if the meals are thrown out because the government is sending billions of dollars to these left leaning organizations feeding more mouths in their governmental system. The left’s policy of open borders is increasing the manpower and their power at ground level times 10.",N/A,,
1201,1,117,What sport are illegal immigrants good at............    cross country,N/A,,
1202,2,145,No bid contracts should against the law. Would any of the readers get a new roof on their home without getting a few bids? This is what lazy incompetent people do like Adams and Biden.,N/A,,
1203,1,116,Food stamps would be cheaper. I think.,N/A,,
1204,1,121,cant they go to taco bell for about $5 a meal instead?,N/A,,
1205,2,196,"In what realm could it make sense to pay illegals MORE than Americans?  $11 a meal all no bid?  Good thinking. Meals they don’t like?  Go back to where you came from. You don’t need - or want out handouts. Better yet, get a job and buy your own meals and shelter. Oh you don’t have skills, you don’t speak English, and you do t want to work?",N/A,,
1206,2,123,"The voting public knows what it wants, and deserves to get it good and hard.",N/A,,
1207,2,136,They act out like petulant children not grateful for anything being given to them. Behavior like that does not ingratiate them to many.,N/A,,
1208,1,119,I'm sure NYC school kids would love to have those $11 meals,N/A,,
1209,2,193,"Some people are getting rich off this crisis.  No different than the homeless industrial complex in California.  These people do not want the gravy train of tax payer money coming into their pockets feed, clothe, house, etc. these illegal immigrants (refuse to use the Dem term ""migrants"" and so should the NYP) to end. Powerful forces are in play, not just politically, to keep this going.",N/A,,
1210,2,265,"As a long time New York City resident its appalling how our Mayor has destroyed the city that we love and past Mayors fought so hard to bring back.   Us tax payers are burden with providing for illegals while our legal residents are left to fend for themselves.  The transformation in the city is astonishing from electric motor scooters taking over the streets on upper East side, delivery bikes flying up and down the Avenues usually going against traffic… Central Park vendors slicing fruit from coolers (very unsanitary).Just to name a few us long term tax payers are fed up,  property taxes are going up while services are being cut to provide for migrants that have chosen to come here illegally leaving migrants wanting to come here legally send to back of the line.We are FED up!!!!",N/A,,
1211,2,155,"Yet another shocking example of liberal incompetence. Any school food services director could probably feed 20 families per month with what NYC is spending on one. Nobody guaranteed these people anything, much less gourmet meals, when they entered the country illegally.",N/A,,
1212,2,193,"Some people are getting rich off this crisis.  No different than the homeless industrial complex in California.  These people do not want the gravy train of tax payer money coming into their pockets feed, clothe, house, etc. these illegal immigrants (refuse to use the Dem term ""migrants"" and so should the NYP) to end. Powerful forces are in play, not just politically, to keep this going.",N/A,,
1213,2,265,"As a long time New York City resident its appalling how our Mayor has destroyed the city that we love and past Mayors fought so hard to bring back.   Us tax payers are burden with providing for illegals while our legal residents are left to fend for themselves.  The transformation in the city is astonishing from electric motor scooters taking over the streets on upper East side, delivery bikes flying up and down the Avenues usually going against traffic… Central Park vendors slicing fruit from coolers (very unsanitary).Just to name a few us long term tax payers are fed up,  property taxes are going up while services are being cut to provide for migrants that have chosen to come here illegally leaving migrants wanting to come here legally send to back of the line.We are FED up!!!!",N/A,,
1214,2,155,"Yet another shocking example of liberal incompetence. Any school food services director could probably feed 20 families per month with what NYC is spending on one. Nobody guaranteed these people anything, much less gourmet meals, when they entered the country illegally.",N/A,,
1215,2,165,"I have a developmentally disabled Aunt and cousin. They both have very basic jobs. BETWEEN them, they get an EBT card with $279 a month on it, yet an ILLEGAL family gets over $3k of food, AND a debit card? What is wrong with our country???",N/A,,
1216,2,166,Then if the packages aren't open have the  City Council and Especially Adams get out there and deliver the wasted food to the Homeless who do not seek shelters and find a better outfit to handle this.   Better yet...They don't like the food.  Tell them go home and eat then.,N/A,,
1217,2,140,Homeless veterans...all homeless Americans...get less than the food and shelter these lee.ches from other countries receive.  Why is the American public not more upset???,N/A,,
1218,2,122,Wow. It's a shame. Liberals cannot even hide their own hypocrisy anymore.,N/A,,
1219,5,141,"feed them -an empty lunch bag , a swift boot in the back side and a one way train ride to the border- sayonara ! adios! chow ! whatever",N/A,,
1220,N/A,0,The government wants the migrants strong and healthy for the future massacre of native New Yorkers.,"'content_filter_result': {'hate': {'filtered': True, 'severity': 'high'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': True, 'severity': 'medium'}}}}}",,
1221,2,123,It’s all about the $$$$ and votesAnd correction: illegal migrant-industrial complex,N/A,,
1222,2,134,"When Democrat voters get tired of illegal immigrants getting better treatment than they are, maybe they'll stop voting Democrat--but I wouldn't bet on it.",N/A,,
1223,2,136,"Serve them rice and beans. Inexpensive and nutritious. If they want better food, become a citizen, get a job and earn it.",N/A,,
1224,1,233,"I don't live in NY, but a lot of that money is coming from Uncle Sugar.  I am 86, with serious health issues, trying to live on my Social Security, and I am being evicted on January 8th.  There is no low income housing available, 8 to 10 year wait for section 8, all local government and NGOs low cost housing has a 3 to 5 year waiting list.  To top it all off, I am being evicted off the land (I own the house) by a Federal Indian Tribe.  I wont last 48 hours on the street.",N/A,,
1225,2,139,"Here's an idea - stop feeding them. If they're able to buy their own food, at NYC prices no less, than they don't need my tax payer provided meals!",N/A,,
1226,2,143,"Just curious...what is the Catholic Church and other religions doing to help out?  Last I recall, I spent my life listening to the importance of Faith, Hope and CHARITY.",N/A,,
1227,2,117,They should be thankful that they are getting any food.,N/A,,
1228,2,144,"$394 x 362 is over $140,000 a year. Maybe we should just give each of them $50,000 a year and tell them to feed and house themselves.",N/A,,
1229,1,163,"It seems that it would be more efficient to set up buffet service in these hotels, most of which must have dining/conference rooms.  Post hours of service for each meal and let the aliens pick what they want to eat from a couple of choices. Less cost and less waste.",N/A,,
1230,2,157,wasn't Rikers Island closed? Why can't they put migrants in there? There is a huge kitchen there.  Cereal for breakfast with Fruit. Tuna on toast forlunch and ramen noodles for dinner Total cost 2.75 per day per migrant.,N/A,,
1231,2,186,"Historically, the government always pays more for goods and services it purchases. This is because it is tax payer money, there's no accountability, and politicians could care less about its constituency. They don't fight for the people of this country. But, if your an outsider, they will roll out the red carpet and provide you with all the goods, services, and benefits in a blink of an eye.",N/A,,
1232,2,139,If these migrants are truly hungry they would be grateful for anything safe to eat.  The major problem is how some of the taxpayers and homeless are going hungry............K,N/A,,
1233,2,119,Send them home where they can eat the foods that they like!,N/A,,
1234,2,133,When will we see an investigation of how much of the “emergency funds” is making its way back to those award the contracts?,N/A,,
1235,N/A,0,Sounds like they should be put on a plane and sent back to wherever the hell they came from. They'll like the food there as well as the weather and the taxpayers flipping the bill would be a lot happier that they don't have to deal with the mess thay have made and the taxpayer dollars they've wasted on Joe Biden's presumed new Voters.,"'content_filter_result': {'hate': {'filtered': True, 'severity': 'medium'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}}}}",,
1236,2,130,"Before these people are released into the country, one of the citizens in favor of open borders should commit to supporting them.",N/A,,
1237,2,186,"Historically, the government always pays more for goods and services it purchases. This is because it is tax payer money, there's no accountability, and politicians could care less about its constituency. They don't fight for the people of this country. But, if your an outsider, they will roll out the red carpet and provide you with all the goods, services, and benefits in a blink of an eye.",N/A,,
1238,2,139,If these migrants are truly hungry they would be grateful for anything safe to eat.  The major problem is how some of the taxpayers and homeless are going hungry............K,N/A,,
1239,2,119,Send them home where they can eat the foods that they like!,N/A,,
1240,2,133,When will we see an investigation of how much of the “emergency funds” is making its way back to those award the contracts?,N/A,,
1241,N/A,0,Sounds like they should be put on a plane and sent back to wherever the hell they came from. They'll like the food there as well as the weather and the taxpayers flipping the bill would be a lot happier that they don't have to deal with the mess thay have made and the taxpayer dollars they've wasted on Joe Biden's presumed new Voters.,"'content_filter_result': {'hate': {'filtered': True, 'severity': 'medium'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}}}}",,
1242,2,130,"Before these people are released into the country, one of the citizens in favor of open borders should commit to supporting them.",N/A,,
1243,2,120,Trump is right deport or close the. Order. This is insanity,N/A,,
1244,2,130,"Before these people are released into the country, one of the citizens in favor of open borders should commit to supporting them.",N/A,,
1245,3,120,Trump is right deport or close the. Order. This is insanity,N/A,,
1246,2,120,Trump is right deport or close the. Order. This is insanity,N/A,,
1247,1,129,New York City is a classy place!  We put our homeless up in hotels with three hot meals a day.,N/A,,
1248,N/A,0,Just disgusting and despicable that we have to pay for these illegals to eat. But this is the people the government wants to replace us with. They can't control the majority of us so they will bring in people who they can control. And they will give them voting rights. This is part of the communist plan,"'content_filter_result': {'hate': {'filtered': True, 'severity': 'medium'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'low'}}}}}",,
1249,N/A,0,It is sickening to see people giving these illegals coats food that they throw out it’s sickening,"'content_filter_result': {'hate': {'filtered': True, 'severity': 'medium'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'low'}}}}}",,
1250,1,158,Mayor Adams another bus just pulled up to the Port Authority hurry up you have to get down there and greet them… Don’t forget to give them some bottled water and a cell phone hurry oh wait a minute another bus oh wait three more buses hurry mayor Adams hurry,N/A,,
1251,2,142,I cannot believe that the Mayor does not give these illegals a daily menu!!! If Eric wants to solve his financial issues simply state that NYC is no longer a sanctuary city.,N/A,,
1252,1,156,They need to rip that EMERGENCY label off this situation and start calling it what it is - a money grab.  It's not an emergency after it's been going on for over a year.   Stop spending taxpayer dollars on everything but the taxpayers.,N/A,,
1253,2,117,Just pathetic. Like Biden’s open borders policy.,N/A,,
1254,2,171,"As long as they are getting fed, a clean bed, spending money they will continue to come. Did anyone else notice all these migrants all want to go to NYC. None of them said they want to go to Fargo ND or Wheeling WV. No send us to NYC, they know where the best freebies are.",N/A,,
1255,1,134,"It's too bad most Americans won't see this excellent reporting. Too busy worshipping the Kardashians, taking selfies and running up credit card bills.",N/A,,
1256,N/A,0,"If NYC keeps this nonsense up for much longer I can't imagine many taxpaying citizens will be left hanging around to foot the bill.  A mere two-percent of these trespassing parasites applied for a work permit, and why would they after being offered a velvet-lined life for 'free'?","'content_filter_result': {'hate': {'filtered': True, 'severity': 'medium'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'low'}}}}}",,
1257,1,133,There's a simple solution to this problem. It's the same thing that people are asked to do at the zoo. Don't feed the animals.,N/A,,
1258,2,150,What is this invasion doing to the schools? The classes must be busting at the seams and the citizens have to be left high and dry. How can teachers teach and are any of the children learning anything at all?,N/A,,
1259,2,123,So glad I don't live in NYC anymore. It's like a post apocalyptic movie.,N/A,,
1260,N/A,0,"DocGo stock had a good day, they got a contract to vaccinate people out in Arizona, feeding migrants in NYC, jabbing people out west, they are doing God's work, time to invest in that stock..","'content_filter_result': {'hate': {'filtered': True, 'severity': 'medium'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}}}}",,
1261,2,127,"To save money, stop feeding the illegals.  Just let them provide for themselves or go home.",N/A,,
1262,2,159,"It is simply amazing that $33 a day is being spent per person per day on meals. I wish I had that kind of money. BTW does right to shelter also mean right to free meals, metrocards and phones?  Something is broken here.",N/A,,
1263,4,190,As the lack of cultural integration becomes ever more evident it really is just a matter of time before a violent episode between abused citizens and pampered invaders occurs. That statement is not an endorsement of vigilantism. It is a reference to how some people who feel abused seek to remedy their repression. Check out the events between the colonists and the British in 1776. That would be a good starting point.,N/A,,
1264,2,150,"NYC is getting exactly what NYC voters asked for and deserve.Thank the NYT, NBC and all the other media outlets headquartered in NYC for spreading the sanctuary city message and not reporting the chaos and wasteful spending.",N/A,,
1265,1,205,"I have mentioned this before. Walking around my neighborhood where there’s a couple shelters I see a lot of these food containers daily. Completely unopened food, Left in abandon on the street. Yet the people who abandoned these containers, are enjoying takeout and fast food. I don’t like to walk around Times Square but just walking around there. You also see many many disregarded containers. As, people are enjoying fast food, food carts, more waste than at an elementary school that provides food.",N/A,,
1266,2,186,"Well, lets see.  We have families that are living hand to mouth right now that are citizens.  Providing meals that may not agree with what the Illegal aliens might like and they are throwing the food out?  Maybe demand they work for their meals then.  I do not know what laws and rules have regarding asylum in NYC.  Certainly could stand for some serious review and repeal.",N/A,,
1267,2,184,Is anyone really surprised? Seriously? This is exactly the same as all the other scams perpetrated on the people who actually work for a living. Tax the middle until it's dry and they throw your hands in the air asking what happened is the liberal road map for everything. This system will collapse under it's own weight and the 'service providers' will likely all be in FL enjoying your money.,N/A,,
1268,1,122,You should see the food waste at the schools.  This is nothing.,N/A,,
1269,2,114,Our government really doesn't like its citizens.,N/A,,
1270,2,155,"It's always a rip-off money grab with programs like these. Illegal immigration, homelessness, drug addiction, there are always groups and organizations of well-connected hustlers stepping in and taking as much money as they can get away with. It never ends.",N/A,,
